Time, Altitude
   0.000100,    0.000000
   0.000632,    0.000000
   0.002362,    0.000000
   0.007810,    0.000000
   0.019716,    0.000000
   0.046627,    0.000000
   0.078519,    0.000000
   0.110456,    0.000000
   0.142579,    0.000000
   0.174618,    0.000000
   0.206901,    0.000000
   0.239426,    0.000000
   0.271874,    0.000000
   0.304701,    0.000000
   0.337471,    0.000000
   0.370188,    0.000000
   0.403205,    0.000000
   0.436638,    0.000000
   0.469995,    0.000000
   0.503508,    0.000000
   0.537360,    0.000000
   0.571740,    0.000000
   0.606439,    0.000000
   0.641421,    0.000000
   0.676668,    0.000000
   0.712038,    0.000000
   0.747581,    0.000000
   0.783587,    0.000000
   0.819557,    0.000000
   0.855929,    0.000000
   0.892688,    0.000000
   0.929852,    0.000000
   0.967638,    0.000000
   1.005564,    0.000000
   1.043326,    0.000000
   1.081385,    0.000000
   1.120205,    0.000000
   1.159634,    0.000000
   1.199424,    0.000000
   1.238704,    0.000000
   1.278756,    0.000000
   1.319481,    0.000000
   1.360143,    0.000000
   1.401969,    0.000000
   1.443441,    0.000000
   1.485379,    0.000000
   1.527124,    0.000000
   1.569387,    0.000000
   1.612102,    0.000000
   1.655462,    0.000000
   1.699134,    0.000000
   1.743123,    0.000000
   1.787631,    0.000000
   1.832473,    0.000000
   1.877673,    0.000000
   1.922654,    0.000000
   1.968211,    0.000000
   2.014195,    0.000000
   2.060824,    0.000000
   2.107702,    0.000000
   2.154902,    0.000000
   2.202426,    0.000000
   2.250753,    0.000000
   2.298893,    0.000000
   2.347503,    0.000000
   2.396556,    0.000000
   2.445826,    0.000000
   2.494925,    0.000000
   2.544995,    0.000000
   2.595247,    0.000000
   2.646651,    0.000000
   2.697573,    0.000000
   2.748871,    0.000000
   2.800237,    0.000000
   2.852218,    0.000000
   2.904484,    0.000000
   2.957242,    0.000000
   3.010278,    0.000000
   3.063591,    0.000000
   3.117987,    0.000000
   3.172129,    0.000000
   3.227036,    0.000000
