Time, Angles
   0.000100,    0.000000
   0.000597,    0.000000
   0.002392,    0.000000
   0.006974,    0.000000
   0.016377,    0.000000
   0.034078,    0.000000
   0.063604,    0.000000
   0.096023,    0.000000
   0.128452,    0.000000
   0.161053,    0.000000
   0.193653,    0.000000
   0.226468,    0.000000
   0.259202,    0.000000
   0.292503,    0.000000
   0.325629,    0.000000
   0.358802,    0.000000
   0.392241,    0.000000
   0.425732,    0.000000
   0.459758,    0.000000
   0.493740,    0.000000
   0.528330,    0.000000
   0.562764,    0.000000
   0.597767,    0.000000
   0.632774,    0.000000
   0.667956,    0.000000
   0.703758,    0.000000
   0.739898,    0.000000
   0.776337,    0.000000
   0.812986,    0.000000
   0.849915,    0.000000
   0.886491,    0.000000
   0.924440,    0.000000
   0.962032,    0.000000
   0.999614,    0.000000
   1.038244,    0.000000
   1.076645,    0.000000
   1.115591,    0.000000
   1.154782,    0.000000
   1.194042,    0.000000
   1.233750,    0.000000
   1.273723,    0.000000
   1.315168,    0.000000
   1.356920,    0.000000
   1.398228,    0.000000
   1.439980,    0.000000
   1.481903,    0.000000
   1.525108,    0.000000
   1.568276,    0.000000
   1.611860,    0.000000
   1.655209,    0.000000
   1.699566,    0.000000
   1.743785,    0.000000
   1.788902,    0.000000
   1.833559,    0.000000
   1.879015,    0.000000
   1.924644,    0.000000
   1.970775,    0.000000
   2.017824,    0.000000
   2.064621,    0.000000
   2.112018,    0.000000
   2.160241,    0.000000
   2.208480,    0.000000
   2.256813,    0.000000
   2.306638,    0.000000
   2.355748,    0.000000
   2.405071,    0.000000
   2.455014,    0.000000
   2.505146,    0.000000
   2.555962,    0.000000
   2.607133,    0.000000
   2.658752,    0.000000
   2.710109,    0.000000
   2.762266,    0.000000
   2.814727,    0.000000
   2.868121,    0.000000
   2.921458,    0.000000
   2.974693,    0.000000
   3.028536,    0.000000
   3.082243,    0.000000
   3.136836,    0.000000
   3.191380,    0.000000
   3.246506,    0.000000
   3.302702,    0.000000
   3.359124,    0.000000
   3.415440,    0.000000
   3.471838,    0.000000
   3.528943,    0.000000
   3.585889,    0.000000
   3.643185,    0.000000
   3.701148,    0.000000
   3.759460,    0.000000
   3.817885,    0.000000
   3.876241,    0.000000
   3.935576,    0.000000
   3.995724,    0.000000
   4.055255,    0.000000
   4.115501,    0.000000
   4.175729,    0.000000
   4.236852,    0.000000
   4.249161,    0.000000
   4.255122,    0.000000
   4.258582,    0.000000
   4.261158,    0.000000
   4.263377,    0.000000
   4.265215,    0.000000
   4.266629,    0.000000
   4.267721,    0.000000
   4.268699,    0.000000
   4.268753,    0.000000
   4.268835,    0.000000
   4.268850,    0.000000
   4.268858,    0.000000
   4.268862,    0.000000
   4.268867,    0.000000
   4.268917,    0.000000
   4.269391,    0.000000
   4.271699,    0.000000
   4.281614,    0.000000
   4.308113,    0.000000
   4.362934,    0.000000
   4.417353,    0.000000
   4.472610,    0.000000
   4.528144,    0.000000
   4.583630,    0.000000
   4.639876,    0.000000
   4.695728,    0.000000
   4.752144,    0.000000
   4.808457,    0.000000
   4.865440,    0.000000
   4.923039,    0.000000
   4.980557,    0.000000
   5.038308,    0.000000
   5.096308,    0.000000
   5.154278,    0.000000
   5.212626,    0.000000
   5.270886,    0.000000
   5.329702,    0.000000
   5.388881,    0.000000
   5.448366,    0.000000
   5.507676,    0.000000
   5.567463,    0.000000
   5.627660,    0.000000
   5.688024,    0.000000
   5.748526,    0.000000
   5.809440,    0.000000
   5.870466,    0.000000
   5.931680,    0.000000
   5.993469,    0.000000
   6.055182,    0.000000
   6.117082,    0.000000
   6.179101,    0.000000
   6.241612,    0.000000
   6.304196,    0.000000
   6.367605,    0.000000
   6.430783,    0.000000
   6.494015,    0.000000
   6.557606,    0.000000
   6.621439,    0.000000
   6.685501,    0.000000
   6.749745,    0.000000
   6.814197,    0.000000
   6.878524,    0.000000
   6.943786,    0.000000
   7.008955,    0.000000
   7.074565,    0.000000
   7.139962,    0.000000
   7.205823,    0.000000
   7.271955,    0.000000
   7.338511,    0.000000
   7.405580,    0.000000
   7.472471,    0.000000
   7.539507,    0.000000
   7.606710,    0.000000
   7.674112,    0.000000
   7.742236,    0.000000
   7.810576,    0.000000
   7.878760,    0.000000
   7.947050,    0.000000
   8.015902,    0.000000
   8.084694,    0.000000
   8.153590,    0.000000
   8.222851,    0.000000
   8.292531,    0.000000
   8.362432,    0.000000
   8.432688,    0.000000
   8.502842,    0.000000
   8.573314,    0.000000
   8.643966,    0.000000
   8.714840,    0.000000
   8.729016,    0.000000
   8.739147,    0.000000
   8.745994,    0.000000
   8.751709,    0.000000
   8.756329,    0.000000
   8.757006,    0.000000
   8.757675,    0.000000
   8.758403,    0.000000
   8.758425,    0.000000
   8.758437,    0.000000
   8.758446,    0.000000
   8.758455,    0.000000
   8.758536,    0.000000
   8.759348,    0.000000
   8.763824,    0.000000
   8.781215,    0.000000
   8.841057,    0.000000
   8.904071,    0.000000
   8.967163,    0.000000
   9.030928,    0.000000
   9.094586,    0.000000
   9.158103,    0.000000
   9.222161,    0.000000
   9.286171,    0.000000
   9.350420,    0.000000
   9.415017,    0.000000
   9.479469,    0.000000
   9.544394,    0.000000
   9.609457,    0.000000
   9.674551,    0.000000
   9.740241,    0.000000
   9.805762,    0.000000
   9.871547,    0.000000
   9.937692,    0.000000
  10.003918,    0.000000
  10.070337,    0.000000
  10.136694,    0.000000
  10.203499,    0.000000
  10.270098,    0.000000
  10.337036,    0.000000
  10.404331,    0.000000
  10.471558,    0.000000
  10.538669,    0.000000
  10.606195,    0.000000
  10.673693,    0.000000
  10.741617,    0.000000
  10.809652,    0.000000
  10.877810,    0.000000
  10.946437,    0.000000
  11.015054,    0.000000
  11.084118,    0.000000
  11.153004,    0.000000
  11.222129,    0.000000
  11.291215,    0.000000
  11.360446,    0.000000
  11.430326,    0.000000
  11.500312,    0.000000
  11.570201,    0.000000
  11.640344,    0.000000
  11.710587,    0.000000
  11.780809,    0.000000
  11.851302,    0.000000
  11.922132,    0.000000
  11.992775,    0.000000
  12.063836,    0.000000
  12.134990,    0.000000
  12.206206,    0.000000
  12.277864,    0.000000
  12.349638,    0.000000
  12.421416,    0.000000
  12.493390,    0.000000
  12.565563,    0.000000
  12.637819,    0.000000
  12.710241,    0.000000
  12.782939,    0.000000
  12.855818,    0.000000
  12.928682,    0.000000
  13.001733,    0.000000
  13.074772,    0.000000
  13.148205,    0.000000
  13.221590,    0.000000
  13.295700,    0.000000
  13.369620,    0.000000
  13.443608,    0.000000
  13.517698,    0.000000
  13.532585,    0.000000
  13.542569,    0.000000
  13.551344,    0.000000
  13.578981,    0.000000
  13.579531,    0.000000
  13.580220,    0.000000
  13.580385,    0.000000
  13.580671,    0.000000
  13.580757,    0.000000
  13.580774,    0.000000
  13.580781,    0.000000
  13.580789,    0.000000
  13.580876,    0.000000
  13.581647,    0.000000
  13.586421,    0.000000
  13.613916,    0.000000
  13.680197,    0.000000
  13.744943,    0.000000
  13.809859,    0.000000
  13.875169,    0.000000
  13.940590,    0.000000
  14.005909,    0.000000
  14.071491,    0.000000
  14.136989,    0.000000
  14.202827,    0.000000
  14.268711,    0.000000
  14.334806,    0.000000
  14.401015,    0.000000
  14.467307,    0.000000
  14.533700,    0.000000
  14.600144,    0.000000
  14.666843,    0.000000
  14.733780,    0.000000
  14.800773,    0.000000
  14.867648,    0.000000
  14.934620,    0.000000
  15.001870,    0.000000
  15.069226,    0.000000
  15.136938,    0.000000
  15.204594,    0.000000
  15.272417,    0.000000
  15.340409,    0.000000
  15.408556,    0.000000
  15.476504,    0.000000
  15.544824,    0.000000
  15.613351,    0.000000
  15.681825,    0.000000
  15.750328,    0.000000
  15.819152,    0.000000
  15.888010,    0.000000
  15.956870,    0.000000
  16.026057,    0.000000
  16.095130,    0.000000
  16.164526,    0.000000
  16.234203,    0.000000
  16.303739,    0.000000
  16.373492,    0.000000
  16.443361,    0.000000
  16.513458,    0.000000
  16.583381,    0.000000
  16.653454,    0.000000
  16.723765,    0.000000
  16.794119,    0.000000
  16.864607,    0.000000
  16.935351,    0.000000
  17.006122,    0.000000
  17.077114,    0.000000
  17.148116,    0.000000
  17.219572,    0.000000
  17.290926,    0.000000
  17.362372,    0.000000
  17.433996,    0.000000
  17.505589,    0.000000
  17.577313,    0.000000
  17.649196,    0.000000
  17.721313,    0.000000
  17.793465,    0.000000
  17.865501,    0.000000
  17.938070,    0.000000
  18.010562,    0.000000
  18.083112,    0.000000
  18.155847,    0.000000
  18.228872,    0.000000
  18.301769,    0.000000
  18.374780,    0.000000
  18.447924,    0.000000
  18.521205,    0.000000
  18.594655,    0.000000
  18.668244,    0.000000
  18.742025,    0.000000
  18.815746,    0.000000
  18.889717,    0.000000
  18.904510,    0.000000
  18.916914,    0.000000
  18.926588,    0.000000
  18.926970,    0.000000
  18.927718,    0.000000
  18.927945,    0.000000
  18.928007,    0.000000
  18.928060,    0.000000
  18.928107,    0.000000
  18.928583,    0.000000
  18.932224,    0.000000
  18.952685,    0.000000
  19.016695,    0.000000
  19.090689,    0.000000
  19.164534,    0.000000
  19.238717,    0.000000
  19.312711,    0.000000
  19.387062,    0.000000
  19.461287,    0.000000
  19.535766,    0.000000
  19.610345,    0.000000
  19.685058,    0.000000
  19.760074,    0.000000
  19.835267,    0.000000
  19.910426,    0.000000
  19.985505,    0.000000
  20.061009,    0.000000
  20.136376,    0.000000
  20.212143,    0.000000
  20.287917,    0.000000
  20.363775,    0.000000
  20.439810,    0.000000
  20.515965,    0.000000
  20.592064,    0.000000
  20.668352,    0.000000
  20.744733,    0.000000
  20.821231,    0.000000
  20.897923,    0.000000
  20.974721,    0.000000
  21.051632,    0.000000
  21.128601,    0.000000
  21.205575,    0.000000
  21.282808,    0.000000
  21.360104,    0.000000
  21.437649,    0.000000
  21.515250,    0.000000
  21.592848,    0.000000
  21.670580,    0.000000
  21.748642,    0.000000
  21.826568,    0.000000
  21.904790,    0.000000
  21.983048,    0.000000
  22.061493,    0.000000
  22.081734,    0.000000
  22.140016,    0.000000
  22.218560,    0.000000
  22.297360,    0.000000
  22.376454,    0.000000
  22.455767,    0.000000
  22.535080,    0.000000
  22.614552,    0.000000
  22.694254,    0.000000
  22.774279,    0.000000
  22.854183,    0.000000
  22.934432,    0.000000
  23.014658,    0.000000
  23.095132,    0.000000
  23.175666,    0.000000
  23.256355,    0.000000
  23.337140,    0.000000
  23.417991,    0.000000
  23.498695,    0.000000
  23.579589,    0.000000
  23.660336,    0.000000
  23.741318,    0.000000
  23.822305,    0.000000
  23.903334,    0.000000
  23.984409,    0.000000
  24.065579,    0.000000
  24.146649,    0.000000
  24.227669,    0.000000
  24.308708,    0.000000
  24.314170,    0.003008
  24.319636,    0.006077
  24.325077,    0.009193
  24.330531,    0.012376
  24.336004,    0.015630
  24.341467,    0.018939
  24.346945,    0.022317
  24.352432,    0.025761
  24.357918,    0.029265
  24.363409,    0.032832
  24.368903,    0.036462
  24.374397,    0.040154
  24.379897,    0.043909
  24.385397,    0.047725
  24.390880,    0.051590
  24.396397,    0.055539
  24.401893,    0.059535
  24.407414,    0.063608
  24.412902,    0.067718
  24.418429,    0.071919
  24.423947,    0.076173
  24.429447,    0.080474
  24.434961,    0.084846
  24.440472,    0.089277
  24.445985,    0.093770
  24.451529,    0.098349
  24.457074,    0.102990
  24.462638,    0.107708
  24.468203,    0.112489
  24.473764,    0.117328
  24.479335,    0.122237
  24.484915,    0.127216
  24.490501,    0.132262
  24.496084,    0.137367
  24.501680,    0.142546
  24.507269,    0.147781
  24.512874,    0.153092
  24.518474,    0.158460
  24.524071,    0.163889
  24.529660,    0.169371
  24.535284,    0.174950
  24.540898,    0.180580
  24.546521,    0.186282
  24.552159,    0.192062
  24.557797,    0.197904
  24.563417,    0.203790
  24.569043,    0.209745
  24.574642,    0.215733
  24.580293,    0.221839
  24.585964,    0.228030
  24.591625,    0.234272
  24.597306,    0.240599
  24.602996,    0.247000
  24.608672,    0.253450
  24.614347,    0.259960
  24.620034,    0.266548
  24.625729,    0.273208
  24.631436,    0.279945
  24.637158,    0.286763
  24.642853,    0.293614
  24.648556,    0.300537
  24.654280,    0.307550
  24.659988,    0.314607
  24.665722,    0.321760
  24.671488,    0.329016
  24.677247,    0.336329
  24.682972,    0.343662
  24.688746,    0.351122
  24.694504,    0.358627
  24.700261,    0.366194
  24.706038,    0.373851
  24.711829,    0.381593
  24.717638,    0.389422
  24.723459,    0.397334
  24.729255,    0.405277
  24.735074,    0.413316
  24.740919,    0.421458
  24.746752,    0.429648
  24.752587,    0.437861
  24.758450,    0.446132
  24.764285,    0.454384
  24.770135,    0.462676
  24.775999,    0.471008
  24.781870,    0.479368
  24.787724,    0.487725
  24.793609,    0.496145
  24.799498,    0.504591
  24.805413,    0.513094
  24.811295,    0.521568
  24.817189,    0.530081
  24.823107,    0.538646
  24.829049,    0.547267
  24.834981,    0.555893
  24.840913,    0.564538
  24.846861,    0.573228
  24.852808,    0.581936
  24.858766,    0.590679
  24.864723,    0.599440
  24.870658,    0.608190
  24.876624,    0.617005
  24.882620,    0.625884
  24.888589,    0.634743
  24.894582,    0.643656
  24.900599,    0.652627
  24.906592,    0.661581
  24.912595,    0.670572
  24.918609,    0.679597
  24.924634,    0.688659
  24.930653,    0.697733
  24.936696,    0.706862
  24.942756,    0.716038
  24.948821,    0.725241
  24.954908,    0.734497
  24.960965,    0.743730
  24.967042,    0.753012
  24.973104,    0.762290
  24.979193,    0.771631
  24.985294,    0.781011
  24.991423,    0.790454
  24.997527,    0.799880
  25.003621,    0.809309
  25.009751,    0.818815
  25.015886,    0.828349
  25.022027,    0.837913
  25.028183,    0.847520
  25.034335,    0.857142
  25.040519,    0.866833
  25.046685,    0.876519
  25.052859,    0.886236
  25.059059,    0.896015
  25.065268,    0.905829
  25.071457,    0.915633
  25.077689,    0.925524
  25.083911,    0.935422
  25.090136,    0.945343
  25.096361,    0.955285
  25.097606,    0.957277
  25.100395,    0.961740
  25.100630,    0.962116
  25.100818,    0.962418
  25.100975,    0.962669
  25.101081,    0.962839
  25.101174,    0.962987
  25.101262,    0.963128
  25.101339,    0.963252
  25.101367,    0.963296
  25.101383,    0.963323
  25.101393,    0.963339
  25.101403,    0.963354
  25.101471,    0.963464
  25.101742,    0.963897
  25.102595,    0.965264
  25.105896,    0.970556
  25.111327,    0.979275
  25.117615,    0.989389
  25.123885,    0.999494
  25.130177,    1.009657
  25.136478,    1.019856
  25.142770,    1.030060
  25.149059,    1.040280
  25.155351,    1.050527
  25.161650,    1.060805
  25.167969,    1.071137
  25.174287,    1.081487
  25.180660,    1.091950
  25.186993,    1.102368
  25.193338,    1.112827
  25.199703,    1.123340
  25.206093,    1.133914
  25.212478,    1.144502
  25.218909,    1.155189
  25.225308,    1.165842
  25.231708,    1.176518
  25.238135,    1.187261
  25.244586,    1.198067
  25.246752,    1.201700
  25.251053,    1.208919
  25.257515,    1.219786
  25.264003,    1.230716
  25.270466,    1.241628
  25.276947,    1.252590
  25.283458,    1.263624
  25.289950,    1.274649
  25.296474,    1.285749
  25.303023,    1.296913
  25.309591,    1.308132
  25.316133,    1.319328
  25.322684,    1.330561
  25.329248,    1.341838
  25.335831,    1.353171
  25.342422,    1.364539
  25.349054,    1.375998
  25.355683,    1.387476
  25.362285,    1.398928
  25.368933,    1.410483
  25.375565,    1.422032
  25.382201,    1.433608
  25.388860,    1.445247
  25.395549,    1.456962
  25.402237,    1.468697
  25.408971,    1.480536
  25.415721,    1.492424
  25.422446,    1.504291
  25.429185,    1.516205
  25.435926,    1.528145
  25.442727,    1.540214
  25.449537,    1.552322
  25.456342,    1.564444
  25.463141,    1.576578
  25.469975,    1.588796
  25.476841,    1.601096
  25.483701,    1.613406
  25.490585,    1.625784
  25.497442,    1.638135
  25.504310,    1.650530
  25.511208,    1.663002
  25.518132,    1.675544
  25.525076,    1.688144
  25.532016,    1.700761
  25.538993,    1.713469
  25.545945,    1.726154
  25.552910,    1.738887
  25.559877,    1.751647
  25.566859,    1.764456
  25.573871,    1.777345
  25.580897,    1.790282
  25.587909,    1.803217
  25.594954,    1.816237
  25.601976,    1.829238
  25.609023,    1.842306
  25.616150,    1.855550
  25.623265,    1.868793
  25.630357,    1.882019
  25.637480,    1.895324
  25.644650,    1.908742
  25.651805,    1.922156
  25.658975,    1.935622
  25.666137,    1.949097
  25.673267,    1.962535
  25.680450,    1.976097
  25.687686,    1.989783
