eta, Cd
   0.000000,    0.005526
   0.020408,    0.005526
   0.040816,    0.005526
   0.061224,    0.005526
   0.081633,    0.005526
   0.102041,    0.005526
   0.122449,    0.005526
   0.142857,    0.005526
   0.163265,    0.005526
   0.183673,    0.005526
   0.204082,    0.005526
   0.224490,    0.005526
   0.244898,    0.005526
   0.265306,    0.005526
   0.285714,    0.005526
   0.306122,    0.005526
   0.326531,    0.005526
   0.346939,    0.005526
   0.367347,    0.005526
   0.387755,    0.005526
   0.408163,    0.005526
   0.428571,    0.005526
   0.448980,    0.005526
   0.469388,    0.005526
   0.489796,    0.005526
   0.510204,    0.005526
   0.530612,    0.005526
   0.551020,    0.005526
   0.571429,    0.005526
   0.591837,    0.005526
   0.612245,    0.005526
   0.632653,    0.005526
   0.653061,    0.005526
   0.673469,    0.005526
   0.693878,    0.005526
   0.714286,    0.005526
   0.734694,    0.005526
   0.755102,    0.005526
   0.775510,    0.005526
   0.795918,    0.005526
   0.816327,    0.005526
   0.836735,    0.005526
   0.857143,    0.005526
   0.877551,    0.005526
   0.897959,    0.005526
   0.918367,    0.005526
   0.938776,    0.005526
   0.959184,    0.005526
   0.979592,    0.005526
   1.000000,    0.005526
