eta, Cd
   0.000000,    0.005559
   0.020408,    0.005559
   0.040816,    0.005560
   0.061224,    0.005560
   0.081633,    0.005560
   0.102041,    0.005560
   0.122449,    0.005561
   0.142857,    0.005563
   0.163265,    0.005564
   0.183673,    0.005565
   0.204082,    0.005566
   0.224490,    0.005567
   0.244898,    0.005568
   0.265306,    0.005569
   0.285714,    0.005570
   0.306122,    0.005571
   0.326531,    0.005572
   0.346939,    0.005573
   0.367347,    0.005573
   0.387755,    0.005574
   0.408163,    0.005574
   0.428571,    0.005575
   0.448980,    0.005575
   0.469388,    0.005575
   0.489796,    0.005575
   0.510204,    0.005576
   0.530612,    0.005575
   0.551020,    0.005575
   0.571429,    0.005575
   0.591837,    0.005574
   0.612245,    0.005573
   0.632653,    0.005573
   0.653061,    0.005571
   0.673469,    0.005570
   0.693878,    0.005568
   0.714286,    0.005566
   0.734694,    0.005564
   0.755102,    0.005561
   0.775510,    0.005560
   0.795918,    0.005559
   0.816327,    0.005558
   0.836735,    0.005557
   0.857143,    0.005556
   0.877551,    0.005554
   0.897959,    0.005553
   0.918367,    0.005551
   0.938776,    0.005548
   0.959184,    0.005546
   0.979592,    0.005545
   1.000000,    0.005526
