DOC (M$_year), LTO_CO (kg)
  12.793411,    0.094111
  12.793661,    0.094111
  12.793403,    0.094111
  12.793414,    0.094111
  12.793664,    0.094111
  12.793426,    0.094111
  12.793425,    0.094111
  12.793359,    0.094111
  12.793358,    0.094111
  12.795085,    0.094111
  12.793635,    0.094111
  12.794117,    0.094111
  12.794124,    0.094111
  12.794161,    0.094111
  12.793678,    0.094111
  12.793527,    0.094111
  12.793308,    0.094111
  12.793786,    0.094111
  12.793636,    0.094111
  12.793900,    0.094111
  12.794414,    0.094111
  12.794408,    0.094111
  12.793708,    0.094111
  12.794124,    0.094111
  12.793417,    0.094111
  12.793583,    0.094111
  12.794314,    0.094111
  12.795534,    0.094111
  12.793740,    0.094111
  12.793457,    0.094111
  12.794748,    0.094111
  12.793429,    0.094111
  12.793733,    0.094111
  12.793642,    0.094111
  12.794555,    0.094111
  12.795572,    0.094111
  12.794323,    0.094111
  12.794464,    0.094111
  12.794192,    0.094111
  12.795527,    0.094111
  12.795520,    0.094112
  12.795552,    0.094111
  12.794718,    0.094111
  12.795733,    0.094112
  12.793683,    0.094111
  12.795448,    0.094112
  12.795237,    0.094112
  12.793661,    0.094111
  12.793798,    0.094111
  12.795759,    0.094112
  12.794475,    0.094111
  12.794951,    0.094111
  12.794586,    0.094112
  12.793666,    0.094111
  12.794390,    0.094111
  12.793474,    0.094111
  12.793842,    0.094111
  12.793248,    0.094111
  12.794027,    0.094111
  12.793500,    0.094111
  12.796181,    0.094112
  12.795491,    0.094112
  12.793844,    0.094111
  12.793564,    0.094111
  12.795101,    0.094111
  12.794710,    0.094111
  12.796090,    0.094112
  12.793383,    0.094111
  12.794584,    0.094112
  12.796030,    0.094112
  12.793593,    0.094111
  12.794912,    0.094111
  12.793388,    0.094111
  12.795442,    0.094112
  12.794397,    0.094111
  12.795369,    0.094112
  12.795578,    0.094111
  12.793708,    0.094111
  12.795161,    0.094111
  12.794202,    0.094111
  12.795188,    0.094112
  12.794829,    0.094111
  12.795473,    0.094112
  12.794375,    0.094111
  12.793904,    0.094111
  12.794733,    0.094111
  12.796027,    0.094112
  12.796184,    0.094112
  12.793696,    0.094111
  12.795423,    0.094111
  12.793682,    0.094111
  12.793611,    0.094111
  12.793435,    0.094111
  12.793773,    0.094111
  12.793711,    0.094111
  12.794892,    0.094111
  12.793173,    0.094111
  12.794858,    0.094111
  12.796246,    0.094112
  12.793608,    0.094111
  12.795536,    0.094112
  12.794699,    0.094112
  12.793731,    0.094111
  12.793776,    0.094111
  12.793602,    0.094111
  12.793732,    0.094111
  12.793466,    0.094111
  12.793715,    0.094111
  12.793565,    0.094111
  12.795208,    0.094112
  12.795085,    0.094111
  12.793798,    0.094111
  12.793166,    0.094111
  12.795045,    0.094112
  12.793812,    0.094111
  12.794222,    0.094111
  12.793601,    0.094111
  12.793713,    0.094111
  12.794941,    0.094111
  12.794073,    0.094111
  12.795402,    0.094111
  12.793863,    0.094111
  12.797422,    0.094113
  12.794175,    0.094111
  12.793603,    0.094111
  12.794446,    0.094111
  12.794478,    0.094111
  12.794900,    0.094111
  12.793809,    0.094111
  12.794953,    0.094111
  12.795361,    0.094111
  12.794419,    0.094111
  12.794177,    0.094111
  12.793956,    0.094111
  12.793724,    0.094111
  12.796250,    0.094112
  12.797558,    0.094113
  12.793775,    0.094111
  12.795150,    0.094112
  12.795162,    0.094112
  12.793911,    0.094111
  12.793692,    0.094111
  12.797094,    0.094112
  12.797434,    0.094113
  12.796364,    0.094112
  12.796388,    0.094112
